	english	sinhala	Similarity score
80	the ace of spades	ඉස්කෝප්ප ආසියා	0.49497680082985257
638	footer	පාදකය	0.49439257190107755
325	New empty file	නව හිස් ගොනුවක්	0.4943821179948441
380	Regenerate project	ව්‍යාපෘති ගොනු ස්වයංජනනය කරන්න	0.4935327556307457
473	Makefile project	ව්‍යාපෘතිය වින්‍යාසකරණය කරන්න	0.49314109742913614
379	Configure Project	ව්‍යාපෘතිය වින්‍යාසකරණය කරන්න	0.49309940485105125
265	Configure project	ව්‍යාපෘතිය වින්‍යාසකරණය කරන්න	0.49309940485105125
519	Shell script files	වර්තමාන ගොනුව සුරකින්න	0.4926485766422803
301	Close file	ගොනුව වසන්න	0.49240457806140864
893	Retry	නැවත උත්සහ කරන්න	0.4918298724987735
213	Shrink	හැකිලෙනවා	0.49156145000294466
84	the nine of spades	ඉස්කෝප්ප නවය	0.49140209092941456
440	Ignore files	ගොනුව වසන්න	0.49130945809899945
53	six of spades	ඉස්කෝප්ප හය	0.4909766873132148
272	Build popup commands	උත්පතන නිමැවුම් විධාන	0.4904194151565909
426	Apply mailbox files	සියළු ගොනු	0.4903991084256673
101	the ace of diamonds	රුවිත ආසියා	0.48993148234881223
472	Display description of the applet	පරිශීලක අතුරුමුහුණතේ XML විස්තරය	0.4891923525562025
409	C++ compiler flags	ගොනුව කම්පයිල් කරන්න	0.48906845665413495
437	Update the working copy	ප්‍රස්තාරය යාවත්කාලීන කරන්න	0.4879606255997806
642	table row	වගුව	0.48775620755811805
782	Decrease the text size	අකුරු ප්‍රමාණය අඩු කරන්න	0.48737417620066636
629	Unlist Project	ව්‍යාපෘතිය පිහිටුවන්න	0.4871262709571891
608	Show in File manager	ගොනු කළමණාකරු	0.48641772868970756
477	Run operations	තොරතුරු	0.48511900358820614
483	Print page header	මුද්‍රණ පූර්‍වදැදැක්ම	0.48499287934335944
630	animation	සජීවනය	0.484657818718588
74	the ace of clubs	කලාබර ආසියා	0.48397629896527555
29	ace of diamonds	රුවිත ආසියා	0.48388249823764035
395	Rename file or directory	add: කලයුතු ගොනුව හෝ ඩිරෙක්ටරිය තෝරාගන්න	0.48387527671987063
1052	Encryption error	සංකේතාංකන දෝෂය	0.4838477302495747
571	Remove Files	ලඟදී විවර කල ගොනු	0.48354969115834256
801	Network Settings	ජාල සැකසුම්	0.4831739140631946
109	the nine of diamonds	රුවිත නවය	0.48315810030453826
356	Highlight style	උද්දීපන ආකාරය (_H)	0.4830868141972311
827	Enable spell checker	අක්ෂර වින්‍යාස පරීක්ෂකය සක්‍රීය කරන්න	0.4823722931484109
790	Increase the text size	අකුරු ප්‍රමාණය වැඩි කරන්න	0.4819108747047921
768	Keyword	මුල පදය	0.4817440855992983
646	Excluded partitions URIs	අත්හල පංගු	0.48136059420021704
305	Sorted in opening order	විවෘත කල පිලිවෙලට අනුපිලිවෙලට සකසන්න	0.4813528344647525
1012	Chat window theme	සල්ලාප කවුළු තේමාව	0.48131691444682206
791	Leave fullscreen mode	මුලුතිර මොඩය හැර යන්න	0.48130274028538567
484	Print page footer	මුද්‍රණ පූර්‍වදැදැක්ම	0.4809822456069189
501	Icons	නිරූපකය	0.48083446785195233
729	Control Style	පාලනය	0.48078179623438344
388	Select one directory	හිස් ඩිරෙක්ටරි මකන්න	0.48076628856190806
701	Scan cycles	පරිලෝකන චක්‍රය	0.48066612763764105
641	caption	යටි ලියමන	0.48064699107653475
87	the king of spades	ඉස්කෝප්ප කිංග්	0.48047900427149853
332	Find _Previous	සොයන්න පෙර (_P)	0.48008525861452706
794	Find _Previous	ඉදිරියට සොයන්න	0.48008525861452706
592	Highlight source code	උද්දීපන ආකාරය (_H)	0.48004196654988207
240	Name of the plugin profile	ප්ලගින පැතිකඩෙහි නම	0.4799889273907496
941	Brightness	දීප්තිය	0.4799193850663155
55	king of spades	ඉස්කෝප්ප කිංග්	0.4797591786406356
714	Alphabet Selection	ක්‍රියා:	0.4794814633724352
614	Highlights	උද්දීපන ආකාරය (_H)	0.479475336300728
203	Launcher Properties	මෙනු වත්කම්	0.47925276665110567
520	Generic rule	සාමාන්‍ය	0.4790705995336515
499	Replace buffer	ආදේශය	0.4784140734503803
607	_Show in File manager	ගොනු කළමණාකරු	0.4783957851123592
106	the six of diamonds	රුවිත හය	0.47830304152345005
37	nine of diamonds	රුවිත නවය	0.4782436901711982
575	Add a remote	ව්‍යාපෘතියට එක් කරන්න	0.4782157141596215
640	chart	ප්‍රස්තාරය	0.4781735368923509
85	the jack of spades	ඉස්කෝප්ප ජැක්	0.4779072329878263
266	Build project tarball distribution	ව්‍යාපෘතියේ ටාබෝල බෙදාහැරීම නිමවන්න	0.47787957398314457
34	six of diamonds	රුවිත හය	0.4777413931339299
605	Search in project files	ව්‍යාපෘති ගොනු ස්වයංජනනය කරන්න	0.47740876847478353
503	Select projects directory	හිස් ඩිරෙක්ටරි මකන්න	0.47729540506046114
634	push button	එබුම් බොත්තම	0.4772000820397242
107	the seven of diamonds	රුවිත හත	0.47704234568223564
271	Build commands	නිමැවුම් විධාන	0.47688624212458797
324	Reload	ප්‍රථිපූරණය	0.4765154155694186
471	A generic project	ව්‍යාපෘති ගොනු ස්වයංජනනය කරන්න	0.4763112892298938
248	Shortcut	කෙටි මාර්‍ගය	0.4762711990233426
35	seven of diamonds	රුවිත හත	0.47622935814128076
669	Move to parent folder	බහාළුමේ විමසන්න	0.4761807599432392
635	radio button	විකල්ප බොත්තම	0.47587589377954126
851	Quit message:	පණිවිඩායෙන් ඉවත්වන්න:	0.47564008418283504
1067	Quit message:	පණිවිඩයෙන් ඉවත්වන්න:	0.47564008418283504
698	Inverse scanning	ප්‍රතිලෝම පරිලෝකනය	0.4754580694790845
391	All files	සියළු ගොනු	0.47520992520465155
81	the three of spades	ඉස්කෝප්ප තුන	0.4751715288178561
396	Select package	ප්ලගිනයක් තෝරාගන්න	0.47508117821935103
88	the ace of hearts	හාර්ත ආසියා	0.47507755760460685
545	Select project directory	හිස් ඩිරෙක්ටරි මකන්න	0.47505298228296516
1081	Keep-Alive Options	සජීවීව තබන්න අභිරුචි	0.4748285472665203
25	ace of clubs	කලාබර ආසියා	0.47475551583179054
348	Supported Encodings	සහාය දක්වන කේතන	0.4746929392422715
442	Git operations	සමුහ වත්කම්	0.4744619591663417
721	Application Style	ක්‍රියා:	0.4742652999483831
725	A_ppend to file	ගොනුව විවෘත කරන්න	0.47414321263903353
40	ace of hearts	හාර්ත ආසියා	0.4740486957847256
907	Select a contact	සබඳතාවක් ‍තෝරාගන්න	0.47375978421947185
543	Terminal options	අග්‍රය	0.47367391236568696
367	File to sync the profile xml	පැතිකඩ xml එක සමමුහුර්ථ කළ යුතු URI එක	0.47362383125035185
486	Remove file/directory	add: කලයුතු ගොනුව හෝ ඩිරෙක්ටරිය තෝරාගන්න	0.4735506911119914
660	Toolbar is Visible	මෙවලම්තීරුව දෘශ්‍ය වේ	0.4733294215240435
576	Add a remote repository	රිපොසිටරියට එක් කරන්න	0.47263692729004986
903	Send file	ගොණුව යවන්න	0.4722084080791909
291	File is binary	ගොනුව ද්විමයි	0.47215398762324085
549	Marked up text to render	විදහව සඳහා පෙළ	0.47199648953463935
306	Save current file	වර්තමාන ගොනුව සුරකින්න	0.4719143157680285
200	Restore the default menu layout	මෙනු සැකසුම පෙර තිබූ ප්‍රකෘති තත්වයට පත් කරනු	0.4718072488223581
672	Save Snapshot	ඡායාරූපය සුරකින්න	0.4717050830523173
578	Skip the current revision	වර්තමාන ගොනුව මුද්‍රණය කරන්න	0.4716734435324255
302	Save file as	ගොනුව සුරකින අයුර	0.47164096073608963
552	Select a pretty printer file	පෙල සකසුවේ සියලුම පෙල තෝරාගන්න	0.4716065914731592
300	Search	සොයන්න	0.4715324418457676
784	Search	සෙවීම	0.4715324418457676
956	New conversation	නව සංවාදය	0.47122166012520117
916	New Conversation	නව සංවාදය	0.47122166012520117
104	the four of diamonds	රුවිත හතර	0.47120855812612733
290	Delete empty directories	හිස් ඩිරෙක්ටරි මකන්න	0.4709435423079147
83	the eight of spades	ඉස්කෝප්ප අට	0.47066590485235327
19	Select Game	තරගයක් තෝරන්න	0.47061052594555025
438	Update remote branches	ප්‍රස්තාරය යාවත්කාලීන කරන්න	0.4705880407397061
105	the five of diamonds	රුවිත පහ	0.4703729040274337
270	Compile current editor file	වර්තමාන පෙල සකසුම් ගොනුව කම්පයිල් කරන්න	0.47032878632278746
68	Redo the undone move	අහෝසි කළ ගෙනයාම නැවත කිරීම	0.4703129225806014
649	Home folder	නිවෙස් බහලුම පරිලෝකනය කරන්න	0.4702885825340062
487	Update file/directory	නව ඩිරෙක්ටරි බිහිකරන්න	0.47025282274098157
33	five of diamonds	රුවිත පහ	0.4701905258578253
110	the ten of diamonds	රුවිත දහය	0.47008234257023085
606	All text files	සියළු ගොනු	0.46995464658628316
102	the two of diamonds	රුවිත දෙක	0.46982542227392327
52	three of spades	ඉස්කෝප්ප තුන	0.46978937794356584
971	Empathy default download folder	Empathyහි පෙරනිමි බාගත කිරීමේ බහලුම	0.4696152004000803
829	Empathy default download folder	Empathyහි පෙරනිමි බාගත ෆෝල්ඩරය	0.4696152004000803
919	Connected to server	සේවාදායකයට සම්බන්ධවිය	0.4695769094032784
921	Classic	පැරණි	0.4693672843719726
715	Adaptation	ක්‍රියා:	0.46931180009558865
559	is Sub-Class	මූලික පන්තිය	0.46903080598676583
449	Cut the selection	මේ තෝරාගැනීම මතක තබා ගන්න	0.4685946574358091
98	the jack of hearts	හාර්ත ජැක්	0.4684614729527469
2	Layer	ස්තරය	0.4684118246378964
826	Spell checking languages	අක්ෂර වින්්‍යාස භාෂාව	0.4682244089912606
1020	Spell checking languages	අක්ෂර වින්‍යාසය පරීක්ෂා කිරීමේ භාෂාව	0.4682244089912606
572	Tag tools	මෙවලම්	0.467899021302184
322	Copy the selected text to the clipboard	තෝරාගත් පෙළ පසුරුපුවරුව වෙත පිටපත් කරන්න	0.4678386406811405
30	two of diamonds	රුවිත දෙක	0.4676182457437254
913	new server	නව සේවාදායකය	0.467557241029391
805	Server password:	රහස්පදය:	0.4672982539216133
899	Removing group	සමූහය ඉවත්කරන්න	0.4672548405111652
113	the king of diamonds	රුවිත කිංග්	0.46722959363025074
526	Failed to parse XML structure	'%s' කියවිම අසාර්ථකයි: XML විග්‍රහයේ දෝෂයකි	0.4671745955331685
407	C++ compiler flags:	ගොනුව කම්පයිල් කරන්න	0.4669394611495815
56	face-down card	නොදන්නා කාඩ්පතක්	0.4665176758891371
371	Deleted	මකන්න	0.46632648172988195
280	XML description of the user interface	පරිශීලක අතුරුමුහුණතේ XML විස්තරය	0.46627549470899854
410	Install directory:	ව්‍යාපෘතිය පිහිටුවන්න	0.4661881404652443
289	Create new directories	නව ඩිරෙක්ටරි බිහිකරන්න	0.46617855522186247
683	Scan a remote folder	දුරස්ථ බහලුම පරිලෝකනය කරන්න	0.46592236663380715
760	Font for fixed width text	අචල දිගක් ඇති වචන කාණ්ඩයට අකුරු රටා	0.46591673084453905
111	the jack of diamonds	රුවිත ජැක්	0.46553659664985797
452	HTML export options:	විකල්ප:	0.46534417395450206
416	Remove File	ඉවත් කරන්න	0.4653229987648524
75	the ten of clubs	කලාබර දහය	0.4652686969602489
408	Install directories:	ව්‍යාපෘතිය පිහිටුවන්න	0.4651389801611095
717	Top to Bottom	ඉහළ සිට පහළට	0.46494139842518933
959	Automatically _connect on startup	පණගැන්වුමේදී සම්බන්ධ කරන්න	0.4648305068753626
197	Six Foundations	සන්නිවේදනය:	0.4646766071178053
944	Video Preview	වීඩියෝ පූර්වදර්ශණය	0.4642638115578046
32	four of diamonds	රුවිත හතර	0.4642510436033005
570	Remove Files:	ලඟදී විවර කල ගොනු	0.46407333201469353
973	Show offline contacts	නොබැඳි පරිශීලකයින් පෙන්වන්න	0.4639540213564215
39	king of diamonds	රුවිත කිංග්	0.46384154012486273
742	Width of the index and search pane	සුචියේ හා සෙවුම් කොටුවේ පළල	0.4636768652151709
568	Installation directory:	root ලෙස ස්ථාපනය කරන්න	0.46367564847752385
1089	Select Your Avatar Image	ඔබගේ මූර්ති පින්තූරය තෝරන්න	0.4634449133453848
772	_Group by language	_භාෂා වශයෙන් ගොනුගත කරන්න	0.4634316909939187
891	Disconnected	විසන්ධිවිය	0.4634047486058109
788	DevHelp Website	DevHelp වෙබ් අඩවිය	0.4633482924130954
766	DevHelp Website	DevHelp වෙබ් අඩවියDevhelp	0.4633482924130954
865	Authentication username:	සහතිකකල පරිශීලක නාමය:	0.4630544736096848
78	the king of clubs	කලාබර කිංග්	0.4627603465835798
951	Error sending a file	ගොණුව යැවීම දෝශසහගතයි	0.4626728064801595
688	Email Address	විද්‍යුත් තැපැල් ලිපිනය	0.46266645340070334
505	File to syncronize the profile XML	පැතිකඩ xml එක සමමුහුර්ථ කළ යුතු URI එක	0.4626260267885308
108	the eight of diamonds	රුවිත අට	0.46195639491625573
581	Remotes	ඉවත් කරන්න	0.46183503595389186
23	Bristol	බ්‍රිස්ටල්	0.46166848510367686
386	Cancel build command	නිමැවුම් විධාන	0.46150820315156355
653	Failed to open file	බහාළුමේ විමසන්න	0.461487252935427
11	Caption:	යෙදුම:	0.4613926697539412
22	%s on foundation	පරිශීලක තොරතුරුreserveslot hint	0.4613435984610423
902	_Previous Conversations	පෙර සංවාද (_P)	0.46133940724749545
5	Columns	තීරු	0.461329188970126
695	Enable switch scanning	ස්විචිය පරිලෝකනය සක්‍රිය කිරීම	0.4613276004723218
439	Add files to the repository	රිපොසිටරියට එක් කරන්න	0.4613061551770119
631	check box	සලකුණු කොටුව	0.4610819677511851
444	Manage associations	ක්‍රීයා	0.46101803179473094
451	Delete the selection	මේ තෝරාගැනීම මතක තබා ගන්න	0.4604821820101237
377	Highlight message locations in editor	නිමැවුම් පණිවිඩයේ ස්ථාන, පෙල සකසුවේ උද්දීපනය කරන්න	0.46045356160157347
764	translator_credits	පරිවර්තකයාගේ_සම්මාන	0.4604450068517363
254	Install as root:	root ලෙස ස්ථාපනය කරන්න	0.46037412125226024
896	Conversation	සංවාදය	0.46034050830150847
76	the jack of clubs	කලාබර ජැක්	0.46030076732646386
491	Use previous message	මීට පෙර පණිවිඩය (_N)	0.46007752302846955
103	the three of diamonds	රුවිත තුන	0.4597824624820387
665	Scan a remote folder or file system	දුරස්ථ බහලුම පරිලෝකනය කරන්න	0.4595291388021212
376	Select Program to run:	ක්‍රමලේඛය දිවැවීම	0.4593928400784323
562	Clear Highlight	උද්දීපන ආකාරය (_H)	0.4593892305000732
662	All_ocated Space	යෙදවූ ඉඩ (_o)	0.45937198955718783
13	Distinguished	විශිෂ්ට	0.45917935209459365
239	Profile Name	පැතිකඩෙහි නම	0.45912902786579307
51	king of hearts	හාර්ත කිංග්	0.4591276228700054
310	Close all files	සියළුම ගොනු වසන්න	0.45896729920824914
351	Try to save in original encoding	පලමු කේතනයෙන්ම සුරැකීමට උත්සාහ කරන්න	0.4589355874959737
734	Width of the main window	ප්‍රධාන වින්ඩෝවේ පළල	0.4588167685488043
706	Right shift	දකුණු ශිෆ්ටය	0.45849120793821607
312	Reload current file	වර්තමාන ගොනුව නැවත පූරණය කරන්න	0.45830321675974484
211	Refresh	නැවුම් කරන්න	0.45816398800508074
31	three of diamonds	රුවිත තුන	0.45809478978860324
49	jack of hearts	හාර්ත ජැක්	0.45808936264961275
901	Removing contact	සබඳතාව ඉවත්කරමින්	0.4579984690908972
577	Delete selected remote	හිස් ඩිරෙක්ටරි මකන්න	0.45793604071009647
417	Select file to remove:	සුරැකීම සඳහා අවශ්‍ය අයිතම තොරාගන්න	0.45782570587173443
100	the king of hearts	හාර්ත කිංග්	0.45769733009545227
694	Enable scanning	පරිලෝකනය සක්‍රිය කර ඇත	0.45732023390732945
962	Critical	වැදගත්	0.4572880606809163
79	the unknown card	නොදන්නා කාඩ්පතක්	0.45722323646556295
311	Reload F_ile	ගොනුව නැවත පූරණය කරන්න	0.45668592171309746
750	Width of the assistant window	සහකාරක වින්ඩෝවේ පළල	0.45655958682434744
922	Select a destination	ගමනාන්තයක් ෙතා්රන්න	0.4564801320773826
677	_Show hidden folders	සැගවුනු බහලුම් පෙන්වන්න (_S)	0.4560817020940998
529	Cannot add source files	c header සහ source ගොනු මාරුකරන්න	0.4560794097783903
627	Save in folder:	වර්තමාන ගොනුව සුරකින්න	0.4560411522785823
413	Debugger connected	නිදොසක විධානය	0.4559732163605625
611	Show Diff	පෙන්වීම	0.45589306677040986
624	Loading files...	පුරණය වෙමින්...	0.45575721575517086
263	Install whole project	සම්පූර්ණ ව්‍යාපෘතියම ස්ථාපනය කරන්න	0.4557008831876598
54	eight of spades	ඉස්කෝප්ප අට	0.4555464002095401
567	Installation directories:	නව ඩිරෙක්ටරි බිහිකරන්න	0.4551778310782289
420	Select Files to Unstage:	සුරැකීම සඳහා අවශ්‍ය අයිතම තොරාගන්න	0.45515445659285814
48	nine of hearts	හාර්ත නවය	0.4551413019634273
500	Current selection	මේ තෝරාගැනීම මතක තබා ගන්න	0.45508397955056196
251	Text to render	විදහව සඳහා පෙළ	0.4549972646856961
770	Display the version and exit	අනුවාදය පෙන්වා ඉවත්වන්න	0.45476916748094776
292	Debugger command	නිදොසක විධානය	0.4546966525517642
28	king of clubs	කලාබර කිංග්	0.4546760821451335
354	Select execution program and args	දිවැයිය යුතු යෙදුම හා විස්තාරක තෝරාගන්න	0.45460107785109516
880	invalid contact	වැරදි සබඳතාවකි	0.4545514409808808
1090	Click to enlarge	විශාලනය කිරීමට ක්ලික් කරන්න	0.45452848331296825
872	Click to enlarge	ව්ශාලනයට ඔබන්න	0.45452848331296825
636	scroll bar	රෝල් තීරුව	0.4541621983867802
957	Account connected	ගිණුම සම්බන්ධයි	0.45415731075147514
904	Infor_mation	තොරතුරු (_M)	0.45402153673237317
38	jack of diamonds	රුවිත ජැක්	0.4539882828791936
769	Search for a keyword	මුල පදයක් සොයන්න	0.45391031853412384
842	Authentication failed	සහතික කිරීම අසමත්විය	0.4537998072632916
199	_Revert to Original	පෙර තිබූ නව්‍ය තත්වයට පත්කරන්න (_R)	0.4536752710059353
639	entry	පිවිසුම	0.45356394282486884
953	Chat Room	කථාබහ කාමරය	0.45336405085102066
274	Add to Repository	රිපොසිටරියට එක් කරන්න	0.4533001243591853
339	Unable to complete file copy	ගොනු පිටපත් කිරීම අසම්පූර්ණයි	0.4532107260061181
838	The selected file is empty	තෝරාගත් ගොණුව හිස්ය	0.45319059344187174
1042	The selected file is empty	තෝරාගත් ගොනුව හිස්ය:	0.45319059344187174
705	Key to use with scanning mode	පරිලෝකන අවධියේ භාවිත වන යතුරු	0.45302699500159044
36	eight of diamonds	රුවිත අට	0.4528736757089014
945	Incoming video call	වීඩියෝ ඇමතුමක් එමින්	0.4524897344580524
446	Close the current file	වර්තමාන ගොනුව මුද්‍රණය කරන්න	0.45243005815161963
387	Command aborted	විධානය	0.45228611284603265
317	Convert EOL to CR	EOL, CR වලට හරවන්න	0.4522172199128425
443	Widget name	වියත්නාම	0.4520768218524924
241	List of plugins for this profile	මේ පැතිකඩ සඳ්හා වූ ප්ලගින ලැයිස්තුව	0.45178659565780804
45	six of hearts	හාර්ත හය	0.4514739404394202
428	Clear all stashes	සියළුම ගොනු වසන්න	0.4513326647755218
7	translator-credits	පරිවර්තන ස්තුතිය	0.45128599510753536
785	translator-credits	පරිවර්තකයාගේ_සම්මාන	0.45128599510753536
436	_Diff uncommitted changes	වෙනස් කිරීම් ඉවත දමන්න	0.45104935463160684
67	Undo the last move	අවසාන ගෙනයාම අහෝසි කරන්න	0.45098494920012067
752	Height of assistant window	සහකාරක වින්ඩෝවේ උස	0.450868602933949
347	Encoding to use when saving files	ගොනු සුරැකීමේදී භාවිතා කල යුතු කේතනය	0.4508613711622752
461	Can not add source files	c header සහ source ගොනු මාරුකරන්න	0.45083243352909613
1023	Nick completed character	අන්වර්ථ නාම සම්පූර්ණ කල අනුලකුණ	0.4504257729880886
217	Missing location of plugin %s	%s plugin එකෙහි ස්ථානය හමු නොවේ	0.4503571953471393
404	Project directory	නව ඩිරෙක්ටරි බිහිකරන්න	0.4503128832469792
96	the nine of hearts	හාර්ත නවය	0.4501914196634946
623	Long description of your plugin	පරිශීලක අතුරුමුහුණතේ XML විස්තරය	0.4500470229071569
496	Currently edited file name	දැනට සක්‍රීය කර ඇති ප්ලගින	0.4500309969600477
589	Directory properties	සමුහ වත්කම්	0.45002641779919195
86	the queen of spades	ඉස්කෝප්ප ක්වීන්	0.44960748143664236
947	Incoming video call from %s	%s ගෙන් වීඩියෝ ඇමතුමක් එමින්	0.44958389397353343
490	Previous Commit Messages:	මීට පෙර පණිවිඩය (_N)	0.4495162198532662
537	Created project view…	ව්‍යාපෘති ගොනු ස්වයංජනනය කරන්න	0.4495112482543405
731	Developer's Help program	දියුණු කරන්නන්ගේ උපකාරක වැඩසටහන	0.4495069683686783
320	Undo the last action	අවසාන ක්‍රියාව අහොසි කරන්න	0.44908471446331233
502	Default project directory:	හිස් ඩිරෙක්ටරි මකන්න	0.4490500194296989
1051	Status is set to offline	%s දැන් නොබැඳියි.	0.44900699266015665
93	the six of hearts	හාර්ත හය	0.44890833177250816
1016	Enable WebKit Developer Tools	WebKit සංවර්ධක මෙවලම් සක්‍රිය කරන්න	0.44880870609590995
718	Bottom to Top	පහළ සිට ඉහළට	0.44871834790053433
719	Speed	වේගය:	0.44862982936917917
313	Print the current file	වර්තමාන ගොනුව මුද්‍රණය කරන්න	0.44847325181852193
275	Class Options:	පන්ති විකල්ප	0.44846363545280615
604	Add to Project Target:	ව්‍යාපෘතියට එක් කරන්න	0.4480928249555091
610	Add to project target:	ව්‍යාපෘතියට එක් කරන්න	0.4480928249555091
26	jack of clubs	කලාබර ජැක්	0.44772895650776556
686	Bug reporter name	දෝෂ වාර්තාකරුගේ නම	0.4476554337021423
474	Choose a working directory	add: කලයුතු ගොනුව හෝ ඩිරෙක්ටරිය තෝරාගන්න	0.447575501886677
238	The plugin manager to use for resolving plugins	ප්ලගින නිරාකරණයේදී භාවිතා කල යුතු ප්ලගින කළමනාකරු	0.4474718952696073
1047	The other participant canceled the file transfer	අනිත් සහභාගිකයින් ගොනු හුවමාරුව අවලංගු කරන ලදි	0.44745438081216593
267	Build module associated with current file	වර්තමාන ගොනුවට අදාල නිමැවුම් මොඩියුලය	0.4474073644846542
362	Forget selected plugin	ප්ලගිනයක් තෝරාගන්න	0.44739129761038304
97	the ten of hearts	හාර්ත දහය	0.44734725372432027
920	Disconnected from server	සේවාදායකයෙන් විසන්ධිවිය	0.4473381888512607
414	Select Files to Commit:	සුරැකීම සඳහා අවශ්‍ය අයිතම තොරාගන්න	0.44728012846349036
644	image map	අනුරුව	0.4472793975649359
12	Selected Cell	සියල්ල තෝරන්න	0.44694723234465134
950	Error receiving a file	ගොණුව ලැබීම දෝශසහගතයි	0.4468842167968619
268	Install module associated with current file	වර්තමාන ගොනුවට අදාල මොඩියුලය ස්ථාපනය කරන්න	0.4468303751863845
566	Unable to parse project file	%s ගොනුව බිහිකළ නොහැක	0.44665260806203433
72	the black joker	කලු ජොකර්	0.4463784622002954
59	Main game:	ප්‍රධාන තරගය	0.44636911405548113
538	Build library as	ටාබෝලය නිමවන්න	0.4462927659624788
908	Select	තෝරන්න	0.4461604232793529
71	Unknown color	නොදන්නා වර්‍ණය	0.44613098264012707
708	Mouse button to use in the scanning mode	පරිලෝකන අවධියේ භාවිත වන මුසික බොත්තම	0.44608566809326544
583	Unable to parse make file	%s ගොනුව බිහිකළ නොහැක	0.4459626608855648
609	Add License Information:	තොරතුරු	0.44590264919413825
226	execvp failed	execvp අසාර්ථකයි	0.4456939338549087
754	X position of assistant window	සහකාරක වින්ඩෝවේ X කන්දාංක	0.445673203441106
828	Connection managers should be used	සම්බන්දතා කළමනාකරුවන් භාවිතා කල යුතුයි	0.4454149523418244
963	Connection managers should be used	සම්බන්ධතා කළමනාකරුවන් භාවිතා කල යුතුයි	0.4454149523418244
527	Macro details:	මැක්‍රෝ	0.4450021817395676
778	Find previous occurrence of the search string	පෙර සෙවුම් වචනය සොයන්න	0.4448119396420374
453	Failed to read file	%s ගොනුව කියවිය නොහැක	0.4446686861177558
262	Build whole project	සම්පූර්ණ ව්‍යාපෘතියම නිමවන්න	0.44457353720926257
447	Save the current file	වර්තමාන ගොනුව සුරකින්න	0.4440497084023201
273	Add to Project	ව්‍යාපෘතියට එක් කරන්න	0.44384402727971883
46	seven of hearts	හාර්ත හත	0.4437442686595873
73	the red joker	රතු ජොකර්	0.4435057443979124
821	Pop up notifications when a contact logs out	සබඳතාවක් පිටවීමේදී ශබ්දයක් වාදනය කරන්න	0.44341740738175234
1008	Pop up notifications when a contact logs out	සබඳතාවක් ඉවත් වූ විට උත්පතන දැනුම්දීම්	0.44341740738175234
216	Unknown error in module %s	%s මොඩුලය තුල නොදන්නා වරදකි	0.4432668592491651
44	five of hearts	හාර්ත පහ	0.44316941807259164
315	Convert EOL to LF	EOL, LF වලට හරවන්න	0.4428105825362684
92	the five of hearts	හාර්ත පහ	0.4427417347420296
9	Title	සිරස්තලය	0.4426911587448425
654	Failed to move file to the trash	"""%s"" බහලුම මැකිය නොහැක"	0.44257784519157456
948	Incoming call from %s	%s ගෙන් ඇමතුමක් එමින්	0.44257338147729497
1000	Enable popup notifications for new messages	නව පණිවිඩ සඳහා උත්පතන දැන්වීම් සක්‍රිය කරන්න	0.44248508966812805
497	Currently edited file directory	නව ඩිරෙක්ටරි බිහිකරන්න	0.442405016053485
