	english	sinhala	Similarity score	Alignment score
79	PNM image loader does not support this PNM subformat	PNM පිළිඹිබු පූරකය මෙම PNM උපසංයුතියට සහාය නොදක්වයි	0.2626334571990595	0.685414
80	Sending Email	විද්‍යුත් තැපැල් යැවීම	0.26200438301748363	0.416149
81	Save all open files	විවෘතව ඇති ගොනු සියල්ල සුරකින්න	0.261809696127931	0.671875
82	Create a new task	නව කාර්‍යයක් නිර්මාණය කරන්න	0.2612481388168817	0.672619
83	Error interpreting JPEG image file (%s)	JPEG පිළිඹිබු ගොනුව (%s) ව්‍යාඛ්‍යායනය දෝෂ සහිතයි	0.2611877036007208	0.6
85	An error occurred while deleting a file or directory	ගොනුව හෝ බහලුම මැකීමෙදි දෝෂයක් හටගැනුණි	0.26068527373321704	0.460613
86	but %s is installed	නමුත් %s ස්ථාපනය කොට ඇත	0.26064171584039286	0.779167
87	Not Started	ආරම්භව නැත	0.26054405830745964	1.0
88	Save Image	පිළිඹිබුව සුරකින්න	0.26047343154641567	0.535885
89	E_xclude files:	ගොනු ඇතුලත් නොකරන්න (_I)	0.2604663325510046	0.38125
90	Dimensions of TIFF image too large	TIFF පිළිඹිබුවේ මාන ඉතා විශාල වේ	0.2603662456702908	0.541558
91	Select...	තෝරන්න...	0.2600947338341939	1.0
92	Email 3	විද්‍යුත් තැපෑල 3	0.26002820235044055	0.722222
93	Fatal error in PNG image file: %s	PNG පිළිඹිබු ගොනුව තුළ තීරනාත්මක දෝෂයක් ඇත: %s	0.25996407612450556	0.470901
94	Start a new game	නව තරගයක් ආරම්ඹකරන්න	0.25949331721494673	0.502801
95	Close all open files	විවෘතව ඇති ගොනු සියල්ල වසන්න	0.2590820690196368	0.684729
96	All files	සියලු ගොනුdisc	0.25905099066949333	1.0
97	the time you specify	ඔබ දක්වන ලඳ වේලාව	0.2588662119778746	0.738095
98	No XPM header found	XPM ශීර්ෂකය හමුවුයේ නැත	0.25875567520658177	0.525
99	click to add	එක් කිරිමට ක්ලික් කරන්න	0.2586131877869775	0.676282
100	popup a child	අපරයක් උත්පතනය කරන්නtoggle	0.2586082079433254	0.362434
101	ends with	සමඟ අවසන්වන	0.25854334477480734	0.583333
102	Other Date	වෙනත් දවසක	0.2584321354097483	0.545455
103	Maximum color value in PNM file is 0	PNM ගොනුවෙහි උපරිම වර්‍ණ අගය ශුන්‍යක් වේ	0.2583086528368027	0.668425
104	Installing file	ගොනුව ස්ථාපනය කරමින්	0.25824089959132834	0.486607
105	Select folder	බහලුම තෝරන්න	0.25823977865184133	0.480769
106	Send this message	මෙම පණිවිඩය යවන්න	0.2581805316021928	1.0
107	PNG compression level must be a value between 0 and 9; value '%d' is not allowed.	PNG සම්පීඩන මට්තම අනිවාර්යෙන්ම 0 සහ 9 අගයන් තුළ පිහිටිය යුතු වේ; '%d' අඟය අනුමත නැත.	0.2581123857622078	0.515352
108	Email Address	විද්‍යුත් තැපැල් ලිපිනය	0.2580137475952142	0.422619
109	Go to next page	මීළඟ පිටුවට යන්න	0.25790923573003965	0.90625
110	No name	නමක් නැත	0.2574785123624679	0.590278
112	Saving Images	පිංතූර සුරකිමින්	0.25702091972727503	0.544118
113	"The file ""%s"" cannot be moved to the trash."	"""%s"" ගොනුව ඉවතලන බහලුමට දැමිය නොහැක."	0.2565672996630859	0.436425
114	Could not rename the file	ගොනුවේ නම වෙනස් කළ නොහැකි විය	0.2564160045767494	0.428205
115	Loading file '%s'…	'%s' ගොනුව පූරණය වෙමින්…	0.2562237049462975	0.513228
116	Cannot allocate memory for loading XPM image	XPM පිළිඹිබුව පූරණයට මතකය වෙන් කළ නොහැකි විය	0.2558961718653639	0.6
117	Not connected	සම්බන්ධ වී නොමැත	0.2558589479467628	0.592437
119	Not enough memory to composite a frame in GIF file	GIF ගොනුව තුළ සමිශ්‍රිත රාමුවක් සැකසීමට ප්‍රමාණවත් මතකයක් නැත	0.2553699547658578	0.560247
120	The time must be in the format: %s	වේලාව තිබිය යුතුම ආකාරය වනුයේ: %s	0.25530271525440185	0.463866
121	not implemented	ක්‍රියාවට නංවා නැත	0.2551498017019185	0.506579
122	%s minutes	මිනිත්තු %sunit-symbols	0.255139701983353	0.448864
123	Delete the selected text	තෝරාගත් පෙළ මකන්න	0.2551225346503078	0.597778
124	Number of files:	ගොනු සංඛ්‍යාව:	0.2551184658113925	0.539216
126	JPEG quality must be a value between 0 and 100; value '%d' is not allowed.	JPEG ප්‍රමිතිය 0 සහ 100 අගයන් අතර තිබිය යුතුමයි; '%d' අගය අනුමත කළ නොහැක.	0.2546517948509865	0.643964
127	unknown program	නොදන්නා වැඩසටහන	0.254591368680849	1.0
129	Select Game	තරගයක් තෝරන්න	0.25417533206928056	1.0
130	PNG compression level must be a value between 0 and 9; value '%s' could not be parsed.	PNG සම්පීඩන මට්තම අනිවාර්යෙන්ම 0 සහ 9 අගයන් තුළ පිහිටිය යුතු වේ; '%s' අඟය විස්තර කළ නොහැකිවිය.	0.25388678792850733	0.499758
132	Unsupported JPEG color space (%s)	සහාය නොදක්වන JPEG වර්‍ණ අවකාශයක් (%s)	0.25347488673277013	0.767028
133	Cannot realloc IOBuffer data	IOBuffer දත්ත නැත වෙනකර තැබිය නොහැක	0.25304373126730695	0.435824
135	Phone number	දුරකථන අංකය	0.2526948710492434	1.0
136	Do Not Forward	ඉදිරියට යවන්න ඒපා	0.2523199079241749	0.377778
137	Width or height of TIFF image is zero	TIFF පිළිඹිබුවේ උස හෝ පළල ශුන්‍යවේ	0.2522353691659788	0.354511
138	Send File	ගොනුව යවන්න	0.2521201558388384	0.5
139	Includes Gmail, Google Docs, Google+, YouTube and Picasa	ජීමේල්, ගූගල් ප්‍රලේඛණ, ගූගල්+, යූටියුබ් සහ පිකාසා අන්තර්ගත වේ	0.25204462324973065	0.476608
140	GIF image was truncated or incomplete.	GIF පිළිඹිබු ලුප්ත වි හෝ අසම්පුර්ණව ඇත.	0.2519989908642827	0.646795
141	Restart the game	තරගය නැවත ආරම්ඹ කරන්න	0.2518006518766924	0.632353
143	Create a new calendar	නව දිනදර්ශනයක් නිර්මාණය කරන්න	0.2515643983861082	0.713636
144	Insufficient memory to load XBM image file	XBM පිළිඹිබු ගොනුව පූරණයට මතකය ප්‍රමාණවත් නැත	0.2514715609674786	0.484075
145	Email	විද්‍යුත් තැපෑල	0.2512642552574107	0.6875
146	Raw PNM image type is invalid	සකස් නොකළ PNM පිළිඹිබු වර්‍ගය සාවද්‍ය වේ	0.2505977145265988	0.396341
147	Go to first page	පළවෙනි පිටුවට යන්න	0.2503318058352306	0.911765
148	What is your Google ID?	ඔබගේ Google ID එක කුමක්ද?	0.24989416366861406	0.717949
149	Password not found	මුරපදය හමුනොවුණි	0.24986009485110117	0.442724
150	Time: %s %s	වේලාව: %s %s	0.24936847463686718	1.0
151	Subject is %s	මාතෘකාව වනුයේ %s	0.2492915253569663	0.716387
153	Unable to open URI	URI විවෘත කිරීමට නොහැක	0.24862026253867953	0.454233
154	Go to last page	අන්තිම පිටුවට යන්න	0.24850748528842814	0.90625
157	Unread Messages	නොකියවූ පණිවිඩ	0.24824347613321152	0.485417
158	exists	පිටවීම්	0.2478555108027649	1.0
159	Couldn't convert image	පින්තූරය පරිවර්තනය කල නොහැක	0.2476484248527413	0.334627
160	Cannot allocate TGA header memory	TAG ශීර්ෂක මතකය වෙනකර තැබිය නොහැක	0.24744599685490157	0.338235
161	Select the entire document	සම්පූර්ණ ලේඛනයම තෝරන්න	0.24744133973213775	0.644122
162	JPEG quality must be a value between 0 and 100; value '%s' could not be parsed.	JPEG ප්‍රමිතිය 0 සහ 100 අගයන් අතර තිබිය යුතුමයි; '%s' අගය යොමු කළ නොහැක.	0.24731035631043188	0.501627
163	Save the current file	දැනට භාවිතාවන ගොනුව සුරකින්න	0.24719641955789484	0.753918
164	file chooser	ගොනු තෝරන්නා	0.24705948198607075	1.0
165	GIF image is corrupt (incorrect LZW compression)	GIF පිළිඹිබුව විනාශ වි ඇත (සාවද්‍ය LZW සම්පීඩනයක්)	0.24705242481930548	0.811325
166	All Accounts	සියළුම ගිණුම්	0.24700795853277668	0.596154
167	Create a new archive	නව සංරක්‍ෂණයක් නිර්මාණය කරන්න	0.24689866307198827	0.707143
168	Installed file	ස්ථාපිත ගොනුව	0.24684201457148447	0.619048
169	but %s is to be installed	නමුත් %s ස්ථාපනය කිරීමට ඇත	0.24683833738890826	0.641738
170	Cannot allocate memory for TGA context struct	PNM සන්ධර්භ ව්‍යුහය සඳහා මතකය ප්‍රමාණවත් නැත	0.24640926666637902	0.318599
171	What is your Facebook username?	ඔබේ ෆේස්බුක් පරිශීලක නාමය කුමක්ද?	0.24635503562603844	0.683824
172	Couldn't save the rest	ඉතිරිය සුරකීය නොහැක	0.24619474890892223	0.654348
173	Select All	සියල්ලම තෝරන්න	0.24610382961409707	0.584848
174	Not enough memory to load icon	සංකේතය පූරණයට ප්‍රමාණවත් මතකයක් නැත	0.24602134364922482	0.56362
175	Maximum color value in PNM file is too large	PNM ගොනුවෙහි උපරිම වර්‍ණ අගය ඉතා විශාල වේ	0.24589123743115573	0.736508
176	Usage: %s <dir>	භාවිතය: %s <dir>	0.24582694157106744	1.0
177	No grouping	සමූහගතව නොවේ	0.24543939399154624	0.682692
179	Enter password	රහස්පදය ඇතුළත් කරන්න	0.24540858996078896	0.490476
180	Enter password	මුරපදය ඇතුළු කරන්න	0.24540858996078896	0.842105
181	"A file named ""%s"" already exists. %s"	"""%s"" ගොනුව දැනටමත් ඇත. %s"	0.2451432489669969	0.446985
182	Unnamed	නිර්ණාමික	0.24494267524823954	1.0
183	Go to Date	දිනයට යන්න	0.244828604563736	0.863636
184	Cannot allocate memory for loading PNM image	PNM පිළිඹිබුව පූරණයට මතකය වෙන් කළ නොහැකි විය	0.24453543412489115	0.6
185	%s has disconnected	%s විසන්ධිවිය	0.2444897585446597	0.9
186	Do Not Exist	ඉවත් වන්න එපා	0.24442851493950002	0.409341
187	Not sorted	අනුපිළිවෙළට සකසා නැත	0.24441080380711355	0.714286
188	Send & Receive Mail	එන සහ යන තැපැල්	0.24424701724637998	0.78125
189	Select Timezone	වේලාකළාපය තෝරන්න	0.2442147522669984	0.575368
190	An error occurred while renaming a file or directory	ගොනුවේ හෝ බහලුමේ නම වෙනස් කිරීමෙදි දෝෂයක් හටගැනුණි	0.24399255942653425	0.403996
191	Failed to open '%s' for writing: %s	ලිවීම සඳහා '%s' විවෘත කිරීම අසමත්විය: %s	0.24397837448123028	0.71477
193	Failed to init GConf: %s	init GConf: %s අසමත්විය	0.2435544495783688	0.6125
194	No undo history	පෙරසේ ඉතිහාසයක් නොමැත	0.2433748449802806	0.769886
195	No contacts found	සබැඳි හමු නොවුණි	0.24335924545084708	0.455882
196	Email begins with	විද්‍යුත් තැපැල ආරම්භ වනුයේ	0.2432054586633967	0.646825
197	(No Suggestions)	(යෝජනා නැත)	0.24303450244042324	0.409314
198	Language: Undefined	භාෂාව: අර්ථදක්වා නැත	0.24287942564478726	0.904762
199	Go to previous page	පෙර පිටුවට යන්න	0.24277556086053664	0.925
201	Read Messages	කියවූ පණිවිඩ	0.24265656604984542	0.409341
202	color chooser	වර්ණ තෝරණය	0.24264890105587256	0.558442
203	TGA image has invalid dimensions	TAG පිළිඹිබු සතුව සාවද්‍ය මාන ඇත	0.2425915379741473	0.333333
204	_RGB profile:	_RGB පැතිකඩ:	0.24248241107430188	1.0
205	Fatal error reading PNG image file	PNG පිළිඹිබු ගොනුව තුළ තීරනාත්මක දෝෂයක් ඇත	0.24229693827035714	0.41196
206	Error sending a file	ගොනුවක් යැවීම දෝෂය	0.2422458508553973	0.952381
207	Transformed PNG has unsupported number of channels, must be 3 or 4.	පරිණාමිත PNG හි සහාය නොදක්වන නාලීකාවකා ප්‍රමාණයක් ඇත එය 3 හෝ 4 විය යුතුම වේ.	0.24218799073689729	0.549943
208	Cannot allocate memory for IOBuffer struct	IOBuffer ව්‍යුහය සඳහා මතකය වෙනකර තැබිය නොහැක	0.242106305485371	0.443669
209	S_elect the documents you want to save:	ඔබට සුරකීමට අවශ්‍ය ලේඛනය තෝරන්න (_e):	0.2420477997545006	0.5125
210	New Meeting	නව රැස්වීම්	0.2420055133625283	0.708333
212	Completion date	නිම කළ දිනය	0.24167516220040852	0.875
213	Add a new snippet...	නව කෙටි උධෘත පාඨයක් එක් කරන්න...	0.2414464895416545	0.554113
214	Play a different game	වෙනස් තරගයකට ක්‍රිඩාකරන්න	0.2413670610949339	0.706294
215	Insert Date and Time	දිනය සහ වේලාව ඇතුලත් කරන්න	0.24133801200230168	0.410053
216	Failure reading GIF: %s	GIF කියවීම අසමත් විය: %s	0.24124736784152873	0.613333
217	Cannot allocate colormap structure	වර්‍ණසිතියම් ආකෘතිය යෙදවිය නොහැක	0.2411565727564276	0.574459
218	GIF image loader cannot understand this image.	පිළිඹිබු තේරුම්ගැනීම GIF පිළිඹිබු පූරකයට අපහසුයි.	0.24092856156689826	0.391489
219	Select a Time Zone	වේලා කළාපයක් තෝරන්න	0.24088849464624218	0.640789
220	All applications	සියලුම වැඩසටහන්	0.24079112335948594	1.0
222	New Contact:	නව සබධතා:	0.23972000923458836	0.696154
223	Folder names cannot contain '/'	බහලුම් නම තුළ '/' අඩංගු විය නොහැකfolder-display	0.23967640148339342	0.416667
224	Phone	දුරකථනය	0.23962585667959502	1.0
225	_Day begins:	දිනයේ ඇරඹුම (_D):	0.23958616533855093	0.474359
226	Work Email	රක්ෂාවේ විද්‍යුත් තැපෑල	0.23956283214829455	0.397727
227	Unknown error	නොදන්නා දෝෂයක්	0.23937135027699696	0.519048
228	Couldn't recognize the image file format for file '%s'	'%s' ගොනුව සඳහා පිළිඹිබු සංයුතිය හදුනාගත නොහැක	0.2393556525172471	0.333849
229	list	ලැයිස්තුව	0.23922462964765145	1.0
230	New conversation	නව සංවාදය	0.23920774785256071	0.532353
231	Go to the next page	මීළඟ පිටුව වෙත යන්න	0.23909089277731255	0.9
232	Address '{0}' already exists.	'{0}' ලිපිනය දැනටමත් ඇත.	0.23903551327020978	0.433333
233	Couldn't allocate memory for line data	රේඛිය දත්ත සඳහා මතකය වෙන් කළ නොහැකි විය	0.2389327544638867	0.595513
234	Send To:	වෙත යවන්න:	0.238661952063012	0.540404
235	What is your Google password?	ඔබගේ Google මුරපදය කුමක්ද?	0.23857380521349114	0.737037
236	What is your GroupWise User ID?	ඔබගේ Groupwise පරිශීලක ID එක කුමක්ද?	0.2378851136090816	0.607686
237	What is your ICQ UIN?	ඔබගේ ICQ UIN එක කුමක්ද?	0.23772792231829953	0.371212
238	an unknown sender	නොදන්නා යවන්නේක්	0.23767794531704567	0.486928
240	Using email address	විද්‍යුත් ලිපිනය භාවිතයෙන්	0.23751853703288361	0.664815
241	_Set expiration date	කල්ඉකුත්වන දිනය සකසන්න (_S)ESendOptions	0.2374689935186325	0.513095
242	Listing files…	ගොනු ලැයිස්තුගත කරමින්…	0.23744840094514075	0.457014
243	Start date is wrong	ආරම්භක දිනය වැරදිය	0.23700172159806243	0.590789
244	Could not create the archive	සංරක්‍ෂණ නිර්මාණය කළ නොහැකි විය	0.2368829049210035	0.718211
245	New Appointment	නව සම්මුතියක්	0.23666256703654653	1.0
246	"""%s"" sent to %s"	"%sට ""%s"" යවන ලදි"	0.2363367795060185	0.303309
247	Failed to write to temporary file when loading XPM image	XPM පිළිඹිබු ගොනුව පූරණයේදි තාවකාලීක ගොනුවට ලිවීම අසමත් විය	0.23630312495734743	0.41886
248	Could not add the files to the archive	සංරක්‍ෂණ සඳහා ගොනු ඇතුලත් කළ නොහැකි විය	0.2362486394727057	0.416987
249	Install a server	සර්වරයක් ස්ථාපනය කරන්න	0.23583838296781323	0.430946
250	New _Appointment...	නව සම්මුතීන්... (_A)	0.23570078971533803	0.880952
251	Other Phone	වෙනත් දුරකථන	0.2356310079103423	0.480769
252	Unexpected error: %s	බලාපොරොත්තු නොවු දෝෂයක්: %s	0.23561364839914986	0.434524
253	Error printing file: %s	ගොනුව මුද්‍රණය දෝෂ සහිතයි: %s	0.23558921531912347	0.370833
254	No misspelled words	අක්‍ෂර වින්‍යාසය වැරදි වචන නැත	0.23542943660263305	0.602419
255	C_urrent View	දැනට ඇති දසුන (_u)	0.23529892682563514	0.453008
256	Don't Show Again	නැවත පෙන්වන්න එපා	0.2350823770811985	0.712418
257	Save Selected	තේරිම සුරකින්න	0.2350291307666339	0.521429
258	Su_mmary:	සාරාංශය (_m):	0.23490656264493737	0.714286
259	Error adding list	ලැයිස්තුව එක් කිරීමේ දෝෂයකි	0.2348471535851786	0.875
260	day,days	දිනය,දින	0.23481909473775886	1.0
261	Messages Not Junk	නොනිසරු පණිවිඩ	0.23480262210614455	0.405556
262	Remember password	මුරපදය මතක තබාගන්න	0.23443210792538594	0.434211
263	Account disconnected	විසන්ධි කල ගිණුම	0.23440513524656126	0.544818
265	Home Email	නිවසේ විද්‍යුත් තැපෑල	0.23432693335507793	0.772727
266	Unsupported icon type	සහාය නොදක්වන සංකේත වර්‍ගයක්	0.23391585693257363	0.689935
267	Enter your password:	ඔබේ මුරපදය ඇතුළු කරන්න:	0.23390334691612225	0.58631
268	Cannot allocate memory for IOBuffer data	IOBuffer දත්ත සඳහා මතකය වෙනකර තැබිය නොහැක	0.2338613708850704	0.445703
269	Undefined	නිර්වචනය නොකළ	0.23352745947340736	0.821429
270	location of appointment	හමුවීමේ ස්තානය	0.2335191609163303	0.454167
271	Go to Today	අද දිනයට යන්න	0.2334494960759912	0.464286
272	Message sent	යැවූ පණිවිඩය	0.2333258386424859	0.5
274	Image format unknown	පිළිඹිබු සංයුතිය නොදනි	0.2332210723670869	0.65942
276	Unable to open address book	ලිපින පොත විවෘත කිරීමට නොහැක	0.23304155926814474	0.579433
277	permission denied	අවසරය ප්‍රතික්ෂේප කරන ලදි	0.23294846980206785	0.846154
278	Start a video call	විදෘශ්‍ය ඇමතුමක් අරඹන්න	0.23283122485463537	0.649123
279	Choose folders	බහාලුම් තෝරන්න	0.23282825369096827	0.533333
280	Close _without Saving	සුරකීමකින් _තොරව වසන්න	0.23280890587193426	0.33498
282	Click to open %s	%s විවෘත කිරීමට ක්ලික් කරන්න	0.23241638405670528	0.896552
283	Create a new appointment	නව හමුවීමේ තොරතුරු නිර්මාණය කරන්නNew	0.23229244632966584	0.60973
285	_Autosave files every	ස්වයංක්‍රීය ගොනු සුරැකුම සෑම (_A)	0.23206043255759076	0.300802
286	%s has left the room	%s කාමරයෙන් ඉවත්වියfoo has left the room	0.23200268135587976	0.756098
287	All accounts	සියලුම ගිණුම්	0.23187046941347944	0.403846
288	[read only]	[කියවීම පමණයි]	0.23176095950839226	1.0
289	Last 5 Days' Messages	පසුගිය දින 5 තුළ ලැබුණු පණිවිඩ	0.23157815726153785	0.822581
290	Create a new mail folder	නව තැපැල් බහලුමක් නිර්මාණය කරන්න	0.2315383836012188	0.482424
291	Select Theme	තේමාව තෝරන්න	0.23131001673932572	0.5
292	Close this window?	මෙම කවුළුව වසන්නද?	0.2310702978147674	0.421053
293	Couldn't allocate memory for header	ශීර්ෂකය සඳහා මතකය වෙන් කළ නොහැකි විය	0.2310054617980662	0.521021
295	End date is wrong	අවසන් දිනය වැරදිය	0.23090559279989975	0.638889
296	Insufficient memory to load PNM context struct	PNM සන්ධර්භ ව්‍යුහය පූරණයට මතකය ප්‍රමාණවත් නැත	0.23085236835450362	0.617021
298	Could not update object	වස්තුව යාවත්කාලීන කල නොහැක	0.23050649664037337	0.550926
299	_Previous	පෙර (_P)	0.2304171084142581	0.777778
300	The selected files cannot be moved to the trash.	තෝරාගත් ගොනු ඉවතලන බහලුමට දැමිය නොහැක.	0.2295954514388329	0.4809
301	image	අනුරුව	0.22953207568752987	1.0
302	Not now	දැන්ම එපා	0.22940002224277123	0.55
304	Forwarded messages	ඉදිරියට යැවූ පණිවිඩ	0.22933088209356356	0.8
305	1st to 10th	1 සිට 10 දක්වා	0.2292567163312924	0.8
306	Usage: %s	භාවිතය: %s	0.2292258961351763	1.0
307	Receiving Email	විද්‍යුත් තැපැල් ලැබීම	0.22896380061320087	0.464674
308	Image has zero width	පිළිඹිබුව සතුව ශුන්‍ය පළලක් ඇත	0.2289549233258358	0.480031
309	"The file ""%s"" is read-only."	"""%s"" ගොනුව කියවීමට පමණි."	0.228881137081719	0.505714
310	Calendar and Tasks	දිනදර්ශනය සහ කාර්‍යයන්	0.22884903275917168	1.0
311	Facebook Chat	ෆේස්බුක් සල්ලාපය	0.22875351725269866	1.0
313	Save As	මෙසේ සුරකින්න	0.22866320421326236	0.491071
314	Date of Birth	උපන් දිනය	0.22847736788253314	0.428571
315	home	නිවසේ	0.22845767749277002	1.0
316	All archives	සියළුම සංරක්‍ෂණ	0.2284523848493336	1.0
317	Forwarded message	ඉදිරියට යැවූ පණිවිඩය	0.22824592682809453	0.809524
319	Could not perform the operation	මෙහෙයුම ක්‍රියාත්මක කළ නොහැකි විය	0.2280788550597208	0.847426
320	No match found	ගැලපුමක් හමු නොවුණි	0.227953673371303	0.725
