	english	sinhala	Similarity score	Alignment score
88	Cancel build command	නිමැවුම් විධාන	0.4769871499738656	0.466667
89	chart	ප්‍රස්තාරය	0.4768022263306193	1.0
90	Toolbar is Visible	මෙවලම්තීරුව දෘශ්‍ය වේ	0.4765357473806944	0.630383
91	Install directories:	ව්‍යාපෘතිය පිහිටුවන්න	0.47635591798461974	0.559524
92	Enable spell checker	අක්ෂර වින්‍යාස පරීක්ෂකය සක්‍රීය කරන්න	0.47620265311089116	0.308897
93	push button	එබුම් බොත්තම	0.4761784152360633	1.0
94	Reload current file	වර්තමාන ගොනුව නැවත පූරණය කරන්න	0.47594852023757994	0.822581
95	six of diamonds	රුවිත හය	0.47582014079671353	0.614583
96	king of spades	ඉස්කෝප්ප කිංග්	0.47578926756978035	0.366667
97	Install whole project	සම්පූර්ණ ව්‍යාපෘතියම ස්ථාපනය කරන්න	0.47566686480422504	0.663636
98	Icons	නිරූපකය	0.4756428707332816	1.0
99	Chat window theme	සල්ලාප කවුළු තේමාව	0.4756022341873335	0.350877
100	Empathy default download folder	Empathyහි පෙරනිමි බාගත ෆෝල්ඩරය	0.4755837519099747	0.745968
102	Close all files	සියළුම ගොනු වසන්න	0.47556857933523133	0.645833
103	Install directory:	ව්‍යාපෘතිය පිහිටුවන්න	0.4754543814342469	0.539474
104	Delete selected remote	හිස් ඩිරෙක්ටරි මකන්න	0.47531198951764964	0.6853
105	Show offline contacts	නොබැඳි පරිශීලකයින් පෙන්වන්න	0.47486956452113993	0.581169
106	ace of clubs	කලාබර ආසියා	0.4748275133315474	0.403846
107	Failed to parse XML structure	'%s' කියවිම අසාර්ථකයි: XML විග්‍රහයේ දෝෂයකි	0.4746228107251227	0.6
108	seven of diamonds	රුවිත හත	0.47458679432747886	0.5
109	Switch key	යතුරු මාරුව	0.4743203709954801	0.431818
110	Leave fullscreen mode	මුලුතිර මොඩය හැර යන්න	0.4740473704925482	0.681818
111	Book Shelf	පොත් රාක්කය	0.4736655303101609	0.564394
114	File is binary	ගොනුව ද්විමයි	0.4729335641604848	0.9
115	face-down card	නොදන්නා කාඩ්පතක්	0.4728927056712564	0.598039
116	Reconnect	නැවත සම්බන්ධවන්න	0.47283006258632826	0.647059
117	Current selection	මේ තෝරාගැනීම මතක තබා ගන්න	0.4726760084158741	0.470085
118	three of spades	ඉස්කෝප්ප තුන	0.47258413533563726	0.564904
119	Decrease the text size	අකුරු ප්‍රමාණය අඩු කරන්න	0.4725415802952172	0.504348
120	Save file as	ගොනුව සුරකින අයුර	0.47234892658889294	0.358974
121	Cannot add source files	c header සහ source ගොනු මාරුකරන්න	0.4718184316006955	0.447304
122	Unable to complete file copy	ගොනු පිටපත් කිරීම අසම්පූර්ණයි	0.47161165170837194	0.455747
123	Use previous message	මීට පෙර පණිවිඩය (_N)	0.4715589331171941	0.904762
124	Close the current file	වර්තමාන ගොනුව මුද්‍රණය කරන්න	0.4714380384539254	0.497751
125	Spell checking languages	අක්ෂර වින්්‍යාස භාෂාව	0.47141810046589894	0.427273
127	Add to Repository	රිපොසිටරියට එක් කරන්න	0.4711756465258077	0.578283
128	%s on foundation	පරිශීලක තොරතුරුreserveslot hint	0.4707776547584217	0.38511
129	Select Your Avatar Image	ඔබගේ මූර්ති පින්තූරය තෝරන්න	0.47062882120194643	1.0
130	Automatically _connect on startup	පණගැන්වුමේදී සම්බන්ධ කරන්න	0.47036604373783303	0.373094
131	Try to save in original encoding	පලමු කේතනයෙන්ම සුරැකීමට උත්සාහ කරන්න	0.47032947264960967	0.413186
132	Text to render	විදහව සඳහා පෙළ	0.47024895262438804	0.3
134	is Sub-Class	මූලික පන්තිය	0.4701298035797663	0.615385
135	Increase the text size	අකුරු ප්‍රමාණය වැඩි කරන්න	0.4699343629505323	0.515886
136	ace of hearts	හාර්ත ආසියා	0.46987010826705955	0.392857
137	Installation directory:	root ලෙස ස්ථාපනය කරන්න	0.4697968737455085	0.73913
138	five of diamonds	රුවිත පහ	0.46966741132200696	0.598039
139	Select execution program and args	දිවැයිය යුතු යෙදුම හා විස්තාරක තෝරාගන්න	0.4692064967530314	0.707353
140	check box	සලකුණු කොටුව	0.46900840115267783	0.530769
142	Home folder	නිවෙස් බහලුම පරිලෝකනය කරන්න	0.4685991208825726	0.416667
144	radio button	විකල්ප බොත්තම	0.46851231291657314	0.519231
145	Clear Highlight	උද්දීපන ආකාරය (_H)	0.4684516378911212	0.523026
146	Distinguished	විශිෂ්ට	0.4684203142824117	1.0
147	Missing location of plugin %s	%s plugin එකෙහි ස්ථානය හමු නොවේ	0.46833101753145456	0.582292
148	Layer	ස්තරය	0.46794331091223285	1.0
150	All_ocated Space	යෙදවූ ඉඩ (_o)	0.4678029164788313	0.502101
151	Remotes	ඉවත් කරන්න	0.4673128584108781	0.772727
152	Connected to server	සේවාදායකයට සම්බන්ධවිය	0.4672757721897485	0.5
153	Authentication username:	සහතිකකල පරිශීලක නාමය:	0.46720376753288767	0.818182
154	Save Snapshot	ඡායාරූපය සුරකින්න	0.4672019321587868	0.571429
155	XML description of the user interface	පරිශීලක අතුරුමුහුණතේ XML විස්තරය	0.4667825578362681	0.392344
156	Can not add source files	c header සහ source ගොනු මාරුකරන්න	0.4667657159443479	0.436471
157	two of diamonds	රුවිත දෙක	0.46644417007337324	0.58125
158	Encryption error	සංකේතාංකන දෝෂය	0.4659957127726596	0.656863
159	Undo the last action	අවසාන ක්‍රියාව අහොසි කරන්න	0.46558060427196324	0.563492
160	Build whole project	සම්පූර්ණ ව්‍යාපෘතියම නිමවන්න	0.46515755899599753	0.712069
161	Profile Name	පැතිකඩෙහි නම	0.465014276036527	1.0
162	List of plugins for this profile	මේ පැතිකඩ සඳ්හා වූ ප්ලගින ලැයිස්තුව	0.46499530006258283	0.335859
163	the unknown card	නොදන්නා කාඩ්පතක්	0.4648415263800416	0.5
164	Quit message:	පණිවිඩායෙන් ඉවත්වන්න:	0.4647947998150535	1.0
165	Quit message:	පණිවිඩයෙන් ඉවත්වන්න:	0.4647947998150535	0.559524
166	Columns	තීරු	0.46468553406884894	1.0
167	Loading files...	පුරණය වෙමින්...	0.46463910580496304	0.577206
168	Installation directories:	නව ඩිරෙක්ටරි බිහිකරන්න	0.4646331147814635	0.467391
169	Encoding to use when saving files	ගොනු සුරැකීමේදී භාවිතා කල යුතු කේතනය	0.46454762932262383	0.43442
170	Undo the last move	අවසාන ගෙනයාම අහෝසි කරන්න	0.46448070416226983	0.523158
171	Save file	ගොනුව සුරකින්න	0.4643809960804124	0.45
173	Keyword	මුල පදය	0.46375632735266203	0.75
174	Reload F_ile	ගොනුව නැවත පූරණය කරන්න	0.4637553161592223	0.73913
176	Caption:	යෙදුම:	0.46348599367775023	1.0
177	Choose a working directory	add: කලයුතු ගොනුව හෝ ඩිරෙක්ටරිය තෝරාගන්න	0.4632051163644064	0.497742
178	Install module associated with current file	වර්තමාන ගොනුවට අදාල මොඩියුලය ස්ථාපනය කරන්න	0.46309365311753936	0.528013
179	Project directory	නව ඩිරෙක්ටරි බිහිකරන්න	0.4625900227983948	0.782609
180	four of diamonds	රුවිත හතර	0.4625690165848937	0.564706
181	C++ compiler flags:	ගොනුව කම්පයිල් කරන්න	0.46246709738625214	0.439286
182	Directory properties	සමුහ වත්කම්	0.4624147902941331	0.446429
183	Email Address	විද්‍යුත් තැපැල් ලිපිනය	0.4623237560444977	0.422619
184	Print the current file	වර්තමාන ගොනුව මුද්‍රණය කරන්න	0.46222865898744203	0.809595
185	Save the current file	වර්තමාන ගොනුව සුරකින්න	0.4621339567529503	0.508893
187	Build module associated with current file	වර්තමාන ගොනුවට අදාල නිමැවුම් මොඩියුලය	0.4618601616239175	0.548872
189	Add to Project	ව්‍යාපෘතියට එක් කරන්න	0.46149156769388355	0.763636
190	Unable to parse make file	%s ගොනුව බිහිකළ නොහැක	0.4614827430632431	0.435315
191	Forget selected plugin	ප්ලගිනයක් තෝරාගන්න	0.4614230900479015	0.847826
192	Failed to read file	%s ගොනුව කියවිය නොහැක	0.4610256147570908	0.788636
193	Find _Previous	ඉදිරියට සොයන්න	0.4609462103549985	0.4
194	Select File	ගොනුව තෝරන්න	0.4607163042261981	0.439103
195	Select a contact	සබඳතාවක් ‍තෝරාගන්න	0.46035551044388096	0.455882
196	Clear all stashes	සියළුම ගොනු වසන්න	0.4602062648627907	0.666667
197	translator-credits	පරිවර්තන ස්තුතිය	0.4599726087471936	0.764706
198	Class Options:	පන්ති විකල්ප	0.45992244462831877	1.0
199	_Diff uncommitted changes	වෙනස් කිරීම් ඉවත දමන්න	0.4598227886890527	0.551839
200	Add to Project Target:	ව්‍යාපෘතියට එක් කරන්න	0.4596976307220757	0.624506
201	Add to project target:	ව්‍යාපෘතියට එක් කරන්න	0.4596976307220757	0.624506
203	New conversation	නව සංවාදය	0.4595915403055108	0.532353
204	Created project view…	ව්‍යාපෘති ගොනු ස්වයංජනනය කරන්න	0.4595613072742708	0.575269
205	Unknown error in module %s	%s මොඩුලය තුල නොදන්නා වරදකි	0.4595016965758987	0.527116
206	Refresh	නැවුම් කරන්න	0.4592983520706184	0.769231
207	Search for a keyword	මුල පදයක් සොයන්න	0.4591802535713583	0.372549
208	Incoming video call	වීඩියෝ ඇමතුමක් එමින්	0.4588067061227301	0.391667
209	Font for fixed width text	අචල දිගක් ඇති වචන කාණ්ඩයට අකුරු රටා	0.4587697517612706	0.576923
210	Inverse scanning	ප්‍රතිලෝම පරිලෝකනය	0.4586614325426627	1.0
211	Width of the index and search pane	සුචියේ හා සෙවුම් කොටුවේ පළල	0.45862852818724037	0.742857
212	Pop up notifications when a contact logs out	සබඳතාවක් ඉවත් වූ විට උත්පතන දැනුම්දීම්	0.45840270078700524	0.607692
213	Enable switch scanning	ස්විචිය පරිලෝකනය සක්‍රිය කිරීම	0.4580639589739882	0.62202
214	Unable to parse project file	%s ගොනුව බිහිකළ නොහැක	0.4579298549797386	0.411442
215	Unversioned	වෙළුම:	0.45790567388758063	1.0
216	Selected Cell	සියල්ල තෝරන්න	0.45783012779429555	0.571429
217	Redo the last action	අවසාන ක්‍රියාව අහොසි කරන්න	0.45782675535883754	0.793651
218	three of diamonds	රුවිත තුන	0.45775581314228475	0.55
219	The plugin manager to use for resolving plugins	ප්ලගින නිරාකරණයේදී භාවිතා කල යුතු ප්ලගින කළමනාකරු	0.45760264959244523	0.335833
220	Mouse button to use in the scanning mode	පරිලෝකන අවධියේ භාවිත වන මුසික බොත්තම	0.45753611427718316	0.478906
221	king of diamonds	රුවිත කිංග්	0.4574672671442386	0.911765
222	_Previous Conversations	පෙර සංවාද (_P)	0.45722360118575717	0.375
224	Convert EOL to CR	EOL, CR වලට හරවන්න	0.45665618166094646	0.404971
225	Clean whole project	සම්පූර්ණ ව්‍යාපෘතියම පිරිසිදු කරන්න	0.45654263309552334	0.641667
226	eight of spades	ඉස්කෝප්ප අට	0.45652851805789396	0.34375
227	Connection managers should be used	සම්බන්දතා කළමනාකරුවන් භාවිතා කල යුතුයි	0.4564557728991992	0.728938
228	Connection managers should be used	සම්බන්ධතා කළමනාකරුවන් භාවිතා කල යුතුයි	0.4564557728991992	0.918681
229	Currently edited file directory	නව ඩිරෙක්ටරි බිහිකරන්න	0.45637209301639814	0.373641
230	Select file to add:	සුරැකීම සඳහා අවශ්‍ය අයිතම තොරාගන්න	0.4560064788092859	0.303571
231	Error sending a file	ගොණුව යැවීම දෝශසහගතයි	0.45588847243267555	0.69697
233	Previous Commit Messages:	මීට පෙර පණිවිඩය (_N)	0.45561019581509754	0.311355
234	Network Settings	ජාල සැකසුම්	0.4556089659315952	1.0
235	plugin %s fails to register type %s	%s plugin එක මගින් %s type එක ලියාපදිංචිය අසාර්ථකයි	0.45530897089338396	0.842949
236	entry	පිවිසුම	0.4553016321733594	1.0
237	Redo the last undone action	අවසාන අහෝසි කළ ක්‍රියාව නැවත කරන්න	0.45506306702736765	0.564286
238	Bristol	බ්‍රිස්ටල්	0.45478815835667774	1.0
239	Brightness	දීප්තිය	0.45462702231994573	1.0
240	nine of hearts	හාර්ත නවය	0.4543982185423374	0.433333
242	Debugger connected	නිදොසක විධානය	0.4542432227754034	0.486842
243	Select all text in the editor	පෙල සකසුවේ සියලුම පෙල තෝරාගන්න	0.45416769344592467	0.670968
245	Build library as	ටාබෝලය නිමවන්න	0.4540407996682916	0.409804
246	Empathy has asked about importing accounts	Empathy, ගිණුම් ආයාත කිරීම ගැන විමසා ඇත	0.45397124113380044	0.648837
247	Long description of your plugin	පරිශීලක අතුරුමුහුණතේ XML විස්තරය	0.4537462577864062	0.447443
248	Check module associated with current file	වර්තමාන ගොනුවට අදාල මොඩියුලය පිරිසිදු කරන්න	0.4536290182877565	0.512987
249	Keep-Alive Options	සජීවීව තබන්න අභිරුචි	0.4535739636939505	0.45614
250	Create a new project	නව ඩිරෙක්ටරි බිහිකරන්න	0.4534907222550828	0.544513
251	king of hearts	හාර්ත කිංග්	0.45327519957209006	0.483333
252	Clean module associated with current file	වර්තමාන ගොනුවට අදාල මොඩියුලය පිරිසිදු කරන්න	0.4529584296105895	0.512987
254	Click to enlarge	විශාලනය කිරීමට ක්ලික් කරන්න	0.4527419566244319	0.378151
255	Click to enlarge	ව්ශාලනයට ඔබන්න	0.4527419566244319	0.535294
256	_Add to Project	ව්‍යාපෘතියට එක් කරන්න	0.4525421950093005	0.815341
257	A_ppend to file	ගොනුව විවෘත කරන්න	0.4522720343392828	0.416667
258	Restart the game	තරගය නැවත ආරම්ඹ කරන්න	0.45221956039313227	0.632353
259	Default project directory:	හිස් ඩිරෙක්ටරි මකන්න	0.45211550132080447	0.441799
260	The other participant canceled the file transfer	අනිත් සහභාගිකයින් ගොනු හුවමාරුව අවලංගු කරන ලදි	0.4520195809395417	0.520625
261	Check whole project	සම්පූර්ණ ව්‍යාපෘතියම පිරිසිදු කරන්න	0.4519627509871498	0.641667
262	Maximum distance when keyboard is hidden	යතුරු පුවරුව වසන් කර ඇති විටදී උපරිම දුර	0.4517842269894006	0.804878
263	king of clubs	කලාබර කිංග්	0.45174881294951774	0.892857
264	Scan cycles	පරිලෝකන චක්‍රය	0.45162738846695943	0.558333
265	Unknown color	නොදන්නා වර්‍ණය	0.4515370471053757	0.447619
266	Malformed project	ව්‍යාපෘතිය වින්‍යාසකරණය කරන්න	0.4514800554898102	0.9
267	Empathy should auto-connect on startup	ආරම්භයේදී Empathy ස්වයංව සම්බන්ධ විය යුතුයි	0.4512626065508179	0.439685
268	eight of diamonds	රුවිත අට	0.4512469027249608	0.583333
269	execvp failed	execvp අසාර්ථකයි	0.45110016656690277	1.0
270	Enable popup notifications for new messages	නව පණිවිඩ සඳහා උත්පතන දැන්වීම් සක්‍රිය කරන්න	0.45105940980323844	0.596717
271	Debugger command	නිදොසක විධානය	0.45077283395221457	0.514706
272	Could not open file	ගොනුව විවෘත කළ නොහැක	0.45053612953051925	0.535714
273	DevHelp Website	DevHelp වෙබ් අඩවිය	0.4504988113175268	0.460526
274	DevHelp Website	DevHelp වෙබ් අඩවියDevhelp	0.4504988111447597	0.403846
275	Convert EOL to LF	EOL, LF වලට හරවන්න	0.4499995043152012	0.811404
276	jack of hearts	හාර්ත ජැක්	0.44977704260963947	0.460606
277	Removing contact	සබඳතාව ඉවත්කරමින්	0.4497355990651725	0.570261
278	Send file	ගොණුව යවන්න	0.44961779108945876	0.5
279	definition	සජීවනය	0.4492563595995307	1.0
280	Please select a stash	කරුණාකර සක්‍රීය කරනු පිණිස ප්ලගිනයක් තෝරාගන්න	0.44894103295519017	0.480237
281	Incoming video call from %s	%s ගෙන් වීඩියෝ ඇමතුමක් එමින්	0.44865301713563394	0.560345
283	Auto-complete	අවසන් කළ	0.44847290506004356	0.833333
284	six of hearts	හාර්ත හය	0.4484542140562553	0.416667
285	Title	සිරස්තලය	0.44783046864904463	1.0
287	You canceled the file transfer	ඔබ ගොනු හුවමාරුව අවලංගු කරන ලදි	0.4471508978933528	0.555948
288	Show hint about closing the main window	ප්‍රධාන කවුළුව වැසීම පිළිබඳව ඉඟියක් පෙන්වන්න	0.44696219654186914	0.620833
289	Highlight all occurrences	උද්දීපන ආකාරය (_H)	0.4467139180924278	0.362348
290	Main game:	ප්‍රධාන තරගය	0.44671337597537786	0.534965
291	Unable to update project	සම්පූර්ණ ව්‍යාපෘතියම ස්ථාපනය කරන්න	0.44662131459335797	0.331429
292	Preview the current file in print-format	වර්තමාන ගොනුව මුද්‍රිතාකාරයෙන් පෙරදකින්න	0.44651703210547566	0.780488
293	Bug reporter name	දෝෂ වාර්තාකරුගේ නම	0.44638866462628357	1.0
294	Top to Bottom	ඉහළ සිට පහළට	0.4463628180217052	0.596154
295	Empathy can publish the user's location	Empathyට පරිශීලකගේ පිහිටීම ප්‍රකාශයට පත් කල හැක	0.4461238911186439	0.58125
296	scroll bar	රෝල් තීරුව	0.4460879658581689	0.454545
297	the black joker	කලු ජොකර්	0.4460071299690753	0.4875
298	Sorted in alphabetical order	අකාරාදී පිලිවෙලට අනුපිලිවෙලට සකසන්න	0.44564174496917985	0.56705
299	_Monitor changes to your home folder	නිවෙස් බහලුම වෙනස්කිරීම් අධීක්ෂණය කිරීමට (_M)	0.4453293974947883	0.414512
300	File or directory to diff:	diff: කලයුතු ගොනුව හෝ ඩිරෙක්ටරිය තෝරාගන්න	0.4450418314518174	0.530423
301	translator_credits	පරිවර්තකයාගේ_සම්මාන	0.4449919361135234	1.0
302	Next/Previous Message	මීට පෙර පණිවිඩය (_N)	0.4448915754328482	0.437229
303	Empathy can use the cellular network to guess the location	පිහිටීම අනුමාන කිරීමට Empathyට ජංගම දුරකථන ජාලය භාවිතා කල හැක	0.4446219508630642	0.562739
304	Empathy can use the cellular network to guess the location	Empathy හට ඔබගේ පිහිටුම ජංගම දුරකථන ජාලය මගින් අනුමාන කල හැක	0.4446219508630642	0.684357
305	Select widgets in the workspace	පෙල සකසුවේ සියලුම පෙල තෝරාගන්න	0.44456498727959115	0.49244
306	jack of diamonds	රුවිත ජැක්	0.444520245102467	0.537433
307	Select _devices to include in file system scan:	ගොනු පද්දතිය පරිලෝකිතයට ඇතුලත්විය යුතු උපාංග තෝරන්න (_d)	0.44389634784602094	0.507675
309	Mo_ve to Trash	ඉවතලන බදුනට දමන්න (_v)	0.44373359525343403	0.308696
312	Focus the Devhelp window with the search field active	සක්‍රිය සෙවුම් ක්ෂේත්‍රය සහිත වින්ඩෝව වෙත යොමුවන්න	0.4432244749388833	0.439542
313	Height of assistant window	සහකාරක වින්ඩෝවේ උස	0.4431676301403322	0.369396
314	Video Preview	වීඩියෝ පූර්වදර්ශණය	0.4431360497854758	0.469925
315	Only show user activatable plugins	පරිශීලකයාට සක්‍රීය කළ හැකි ප්ලගින පමණක් දර්ශනය කරනු	0.44301340938545763	0.459066
316	Swap C header and source files	c header සහ source ගොනු මාරුකරන්න	0.4429034239365137	0.772296
317	Swap c header and source files	c header සහ source ගොනු මාරුකරන්න	0.4429034239365137	0.772296
318	Connection has been refused	සම්බන්ධතා කළමනාකරුවන් භාවිතා කල යුතුයි	0.442849918163341	0.621337
319	Scan your home folder	ඔබගේ නිවාස බහලුම නැවත පරිලෝකිතය කලයුතුද?	0.44281211972702295	0.548226
321	Show API Documentation for the word at the cursor	කසරය ඇති වචනයට API ලිපි ලේකන පෙන්වයි	0.4427121046876562	0.45973
322	Show API Documentation for the word at the cursor	කසරය ඇති වචනයට API ලිපි ලේකන පෙන්වයිDevhelp	0.4427121046876562	0.504091
323	Developer's Help program	දියුණු කරන්නන්ගේ උපකාරක වැඩසටහන	0.44269585125688193	0.890625
324	foundation	සන්නිවේදනය:slot type	0.44257124949945137	0.880952
325	Conversation	සංවාදය	0.4425092687209447	1.0
326	Enable scanning	පරිලෝකනය සක්‍රිය කර ඇත	0.44243678368520045	0.476902
328	five of hearts	හාර්ත පහ	0.4421405272441916	0.566667
329	A graphical tool to analyze disk usage.	තැටි භාවිතය විශ්ලේෂණයට ප්‍රස්ථාරික මෙවලම	0.44208044500555843	0.592988
330	Discover the STUN server automatically	STUN සේවාදායකය ස්වයංව අනාවරණය කරන්න	0.4419180115279944	0.362179
331	jack of clubs	කලාබර ජැක්	0.44188015308463946	0.487013
332	Missing type defined by plugin %s	%s plugin එකෙන් අර්ථදැක්වෙන type එක හමු නොවේ	0.44177941379894037	0.638235
