	english	sinhala	Similarity score	Alignment score
92	Go to %1	% 1 වෙතට යන්න	0.24161250115685107	0.583333
94	%1 already exists.	% 1 දැනටමත් පවතී.	0.2408520465669426	0.511696
95	Authenticated user (%1) does not match requested user (%2).	අවසරලත් (% 1) පරිශීලකයා ඉල්ලුම් කල (% 2) පරිශීලකයාට නොගැලපේ.	0.2406691085489001	0.471995
96	Unable to stop service %1. Error: %2	සේවාව නැවැත්විය නොහැකි විය% 1. වරදක්:% 2 NAME OF TRANSLATORS	0.24041227314774005	0.556712
97	Deselect All	තේරු සියල්ල අත්හරින්න	0.2404102073269314	0.312937
99	Choose Image	පිංතූරයක් තෝරන්න	0.24018744038221485	0.563348
100	Cannot open %1 for reading	කියවීම සඳහා% 1 විවෘත කළ නොහැක	0.24001407292176546	0.546296
101	Delete the selected profile(s)	තෝරාගත් පැතිකඩ මකන්න	0.23991361804564804	0.679724
102	The file %1 does not contain valid XML.	% 1 ගොනුච සතුව වලංගු XML නොපවතී.	0.23962567612124985	0.387121
103	Error: Unable to run smbstatus	වරදක්: smbstatus ක්‍රියා කරවිය නොහැක	0.23955144934734562	0.676548
104	Apply colors to & non-KDE4 applications	KDE4 නොවන භාවිත යෙදවුම් සඳහා වර්ණ ඇතුළත් කරන්න. (n)	0.2394990109878563	0.677885
105	Cannot open theme file %1	% 1 තේමා ගොනුව විවෘත කල නොහැක	0.23918334931749996	0.916667
107	%1 - unknown type of userpath	% 1 - පරිශීලක මාර්‍ගයේ නොදන්නා ආකාරයක්	0.23883789738967465	0.4
108	Cannot open the file %1.	% 1 ගොනුව විවෘත කළ නොහැක.	0.2387379717620206	0.645385
110	Select Filename	ගොනු නාමයක් තෝරන්න@ info	0.23846769461124495	0.44125
111	Unable to authenticate/ execute the action: %1, %2	% 1,% 2 ක්‍රියාට ක්‍රියාත්මක කිරීමට/ අවසරදීමට නොහැකි විය:	0.23845597073795943	0.712306
112	Press %1 while NumLock and ScrollLock are active	NumLock, CapsLock හා ScrollLock සක්‍රීය විට% 1 ඔබන්න	0.23837112598266685	0.451675
113	Press %1 while NumLock and CapsLock are active	NumLock හා CapsLock සක්‍රීය විට% 1 ඔබන්න	0.23834971537871752	0.560197
114	Switch to Desktop 1	1 වන වැඩතලයට මාරුවන්න	0.23825607030266838	0.856818
115	Selected Users	තෝරාගත් පරිශීලකයන්	0.23811711627058685	1.0
116	"Configuration file ""%1"" not writable."	"""% 1"" සැකසුම් ගොනුවට ලිවිය නොහැක. Socket error code NotSupported"	0.23806161103758017	0.52004
117	weather condition	කාලගුණ තත්වයweather condition	0.23797703955642646	0.444444
118	Press %1 while NumLock, CapsLock and ScrollLock are active	NumLock, CapsLock හා ScrollLock සක්‍රීය විට% 1 ඔබන්න	0.2378974916646257	0.581548
119	"Please specify ""%1"" or ""%2""."	"කරුණාකර ""% 1"" හෝ ""% 2"" දක්වන්න."	0.23745256059737585	0.90625
120	"Do you really want to activate ""%1"" and ""%2"" and to deactivate ""%3""?"	"ඔබට ඇත්තෙන්ම ""% 1"" හා ""% 2"" සක්‍රීය කිරීමට හා ""% 3"" අක්‍රීය කිරීමට අවශ්‍යද?"	0.2372978329549369	0.499714
121	Switch to Screen 0	0 වන තිරයට මාරුවන්න	0.23715022626856808	0.511842
122	You have to restart KDE for these changes to take effect.	ඔබට මෙම වෙනස්කම් බලගැන්වීමට KDE නැවත ආරම්භ කිරීමට සිදුවේ	0.2371299553069548	0.695554
123	You have to restart KDE for these changes to take effect.	ඔබට මෙම වෙනස්කම් බලපැවැත්වීමට KDE නැවත ආරම්භ කිරීමට සිදුවේ.	0.2371299553069548	0.619253
124	Failed to start service '%1 '.	'% 1' සේවාව ආරම්භ කිරීම අසාර්ථකයි.	0.23704867303968058	0.865899
125	operation is not supported	මෙහෙයුම සහාය නොදක්වයිSocket error code Timeout	0.23702532709364066	0.615051
126	Select service:	සේවාව තෝරන්න	0.23691193186823511	1.0
128	Press %1 while CapsLock and ScrollLock are active	CapsLock හා ScrollLock සක්‍රීය විට% 1 ඔබන්න	0.23687909443378885	0.588182
129	Failed to run qdbusviewer	qdbusviewer ක්‍රියාත්මක කිරීම අසාර්ථකයි	0.23682762208409258	0.640385
130	Enter new label:	නව ලේබලය ඇතුළත් කරන්න:	0.23678989643303794	0.599744
131	Enter a new password:	නව මුරපදයක් ඇතුළු කරන්න:	0.23676286405680003	0.563636
132	The player '%1 'cannot perform the action'previous'.	'% 1' ධාවකයට 'පෙර' ක්‍රියාව ඉටුකළ නොහැක.	0.23663463222328573	0.317303
133	Installing %1 theme	ස්ථාපනය කරමින්% 1 තේමාව	0.23642817392465076	0.833333
134	Could not read script '%1 '. Error %2	'% 1' ස්ක්‍රිප්ටය කියවිය නොහැක. දෝශය% 2	0.2363836360964342	0.320395
135	"Do you really want to activate ""%1"" and to deactivate ""%2"" and ""%3""?"	"ඔබට ඇත්තෙන්ම ""% 1"" සක්‍රීය කිරීමට හා ""% 2"" හා ""% 3"" අක්‍රීය කිරීමට අවශ්‍යද?"	0.23629772244021297	0.58791
136	"Do you really want to activate ""%1"", and ""%2"" and to deactivate ""%3"" and ""%4""?"	"ඔබට ඇත්තෙන්ම ""% 1"" හා ""% 2"" සක්‍රීය කිරීමට හා ""% 3"" හා ""% 4"" අක්‍රීය කිරීමට අවශ්‍යද?"	0.23625673469723552	0.539538
138	Could not launch the browser: %1	ගවේෂකය ඇරඹිය නොහැකි විය:% 1	0.23620730658908276	0.540584
139	system error	පද්ධති දෝෂය	0.23620676707654156	1.0
140	Enter the path to your htsearch program here, e. g. / usr/ local/ bin/ htsearch	ඔබේ htsearch වැඩසටහනේ මාර්‍ගය ඇතුළත් කරන්න උදා. / usr/ local/ bin/ htsearch	0.2361676534073922	0.776645
141	Iconify the window	කවුළුවට අයිකන යොදන්න	0.2361191491745558	0.401003
142	Show All Files	සියළු ගොනු පෙන්වන්න	0.23607381873080158	0.425
143	Memory usage: %1 out of %2 (%3%)	මතක භාවිතය:% 2 කින්% 1 (% 3%)	0.23589557628474722	0.715152
144	Unable to start server %1.	ධාරකය ආරම්භ කිරීමට නොහැකි විය% 1.	0.23580225941077515	0.708606
146	Choose this option to make KDE applications use the standard Windows Open/ Save file dialogs, instead of those normally used in KDE.	මෙම අභිප්‍රේතය KDE යෙදුම් සඳහා සාමාන්‍ය KDE සංවාද වෙනුවට Windows හී සම්මත විවෘත/ සුරැකුම් සංවාද භාවිත කිරීමට සලස්වයි. checkbox caption in System Integration options	0.23526088251401234	0.392231
147	Delete Link	සබැඳිය මකන්න	0.23511677350506943	0.560897
148	%1 - unknown type	% 1 - නොදන්නා වර්‍ගය	0.2350882126499218	0.623016
149	Window to Next Screen	කවුළුව මීළඟ තිරයට	0.23507155130027968	0.325758
150	Parsing of file %1 failed (%2)	% 1 ගොනුව විග්‍රහ කිරීම අසාර්ථකයි (% 2) @ info: status	0.23497510272500222	0.446921
151	Cannot create thumbnail for %1	% 1 සඳහා කුඩාරූපය සැකසිය නොහැක	0.23497052766833804	0.387097
152	Select the cursor theme you want to use:	ඔබට භාවිත කිරීමට අවශ්‍ය කර්සර තේමාව තෝරන්න:	0.23488685053234803	0.797672
153	Module %1 not found	% 1 මොඩියුලය හමු නොවිණි	0.23482255154340237	0.725
156	After timeout: %1	කල් ඉකුත්වීමෙන් පසු:% 1@ action: button	0.23430906946850882	0.325
157	Enter the host or domain to which this policy applies, e. g. www. kde. org or. kde. org.	මෙම ප්‍රතිපත්ති ඇතුළත් වන වසම් හෝ ධාරක ඇතුළත් කරන්න, උදා. www. kde. org හෝ. kde. org.	0.23424989385557637	0.720408
158	Select one of the standard KDE shortcut schemes	සම්මත KDE කෙටිමං යෙදුම් වලින් එකක් තෝරන්න	0.23417244140364346	0.855655
159	Could not launch the KDE Help Center: %1	KDE උදව් මධ්‍යස්ථානය ඇරඹිය නොහැකි විය:% 1	0.23416047967432993	0.735192
160	%1 options:	විකල්ප% 1 ක්:	0.23400437717938113	0.517857
161	& Turn off computer	පරිගණකය වසාදමන්න (T)	0.2339314830423973	0.560714
162	Do Not Delete	මකා නොදමන්න	0.23353557409063797	0.416667
163	No running apps	යෙදුමක් ක්‍රියාත්මක කරමින්	0.23352054774659337	0.77662
164	Delete Profile	පැතිකඩ මකන්න	0.23337699761032127	0.535897
165	%1 does not seem to be a correct theme file	% 1 සතුව නිවැරදි තේමා ගොනුවක් නොමැතuser:...	0.23293984611973428	0.511364
166	(Could not load theme)	(තේමාව පූර්ණය කල නොහැක) Unknown name	0.23248374483227963	0.493537
167	No such file or directory	"""% 1"" ලෙස පරිවර්තකයක් නැත"	0.23241203490830553	0.365385
168	Create a new group	නව සමූහයක් නිර්මාණය කරන්න	0.23229327347144135	0.669028
169	"Do you really want to deactivate ""%1"", ""%2"", ""%3"" and ""%4""?"	"ඔබට ඇත්තෙන්ම ""% 1"" ""% 2"", ""% 3"" හා ""% 4"" අක්‍රීය කිරීමට අවශ්‍යද?"	0.2322743926633848	0.685256
170	Enter the name of a host (like www. kde. org) or a domain, starting with a dot (like. kde. org or. org)	(. kde. org හෝ. org වැනි) තිතකින් ආරම්භ වන ධාරක නාමයක් හෝ ඩොමේනයක් ඇතුළත් කරන්න (www. kde. org වැනි)	0.2321829448983408	0.419602
171	Do not animate windows on all desktops	සියලු වැඩතල මත කවුළු සජීවීකරණය නොකරන්න	0.23207773703416024	0.320513
172	Top edge of screen	තිරයේ ඉහළ අග	0.23196871934624141	0.41498
173	Unable to use the %1 Multimedia Backend: %2	% 1 භාවිත කළ නොහැක බහුමාධ්ය පසුතලය:% 2	0.2319563746386848	0.399767
174	Remove the selected scheme	තෝරාගත් තේමාව ඉවත් කරන්න	0.23188841942101135	0.805926
175	Add a new pattern for the selected file type.	තෝරාගත් ගොනු වර්ගයට නව රටාවක් එක් කරන්න.	0.23155236691673053	0.553552
176	Switch to window tab	කවුළු ටැබයට මාරුවන්න	0.23123937437412678	0.309524
177	Deselect All	සියල්ල තේරීම අවලගු කරන්න	0.23112493115695543	0.486154
178	Open the document in a new window	ලේඛනය නව කවුළුවක විවෘත කරන්න	0.23107285875630623	0.412779
179	Switch to Desktop 9	9 වන වැඩතලයට මාරුවන්න	0.23100130582315614	0.856818
180	"All Fonts contains all the fonts installed on your system - both ""System"" and ""Personal"". System contains all fonts that are installed system-wide (i. e. available to all users). Personal contains your personal fonts. Unclassified contains all fonts that have not yet been placed within a ""Custom"" group."	"සියළු අකුරු ඔබේ පද්ධතියේ ඇති සියළු අකුරු ""පද්ධති"" හා ""පුද්ගලික"" යන දෙකම. පද්ධති සියළු පද්ධති- ව්‍යාප්ත ලෙස ස්ථාපිත අකුරු අඩංගු වේ (සියළු පරිශීලකයන්ට භාවිත කල හැකි). පුද්ගලික ඔබේ පුද්ගලික අකුරු දරයි. වර්ග නොකළ ඔබ විසින් ""රුචි"" කණ්ඩායමක නොදැමූ සියළු අකුරු මෙහි අඩංගු වේ."	0.23096115055886912	0.556737
181	The player '%1 'cannot perform the action'play'.	'% 1' ධාවකයට 'ධාවනය' ක්‍රියාව ඉටුකළ නොහැක.	0.23091538020889857	0.462981
182	Hide window title bar	කවුළු මාතෘකාව භාවිත කරන්න	0.23086699557643442	0.519231
183	Background color:	පසුබිම් වර්‍ණය:	0.2308638854296987	1.0
184	Copy selected files from %1 to:	තෝරාගත් ගොනුව% 1 වෙතට පිටපත් කරමින්:	0.23043628178493236	0.854307
185	& Elevate selected window	තෝරාගත් කවුළුව ඔසවන්න (E)	0.23043172322650207	0.615385
186	%1 (will not be indexed for desktop search)	% 1 (වැඩතල සෙවුම සඳහා සූචිගත නොවනු ඇත)	0.23042205481579003	0.469406
187	To add a new policy, simply click on the Add... button and supply the necessary information. To change an existing policy, use the Change... button and choose the new policy from the policy dialog box. Clicking on the Delete button will remove the currently selected policy causing the default policy setting to be used for that domain, whereas Delete All will remove all the site specific policies.	නව ප්‍රතිපත්තියක් එක් කිරීමට, සරලව එක් කරන්න... බොත්තම ක්ලික් කර ඇවැසි තොරතුරු ලබාදෙන්න. පවතින ප්‍රතිපත්තියක් වෙනස් කිරීමට වෙනස් කරන්න... බොත්තම ක්ලික් කර ප්‍රතිපත්ති ලැයිස්තු කොටුවෙනව ප්‍රතිපත්තිය තෝරන්න මකන්න බොත්තම දැනට තෝරාගෙන ඇති ප්‍රතිපත්තිය මකාදමා එම වසම සඳහා පෙරනිමි ප්‍රතිපත්ති සැකසුම් යොදන අතර සියල්ල මකන්න සියළු අඩවි පාදක ප්‍රතිපත්ති මකාදමයි.	0.23035936938231316	0.400127
188	None selected (change...)	තෝරා නොමැත (වෙනස් කරන්න...) NAME OF TRANSLATORS	0.23032755275562522	0.334936
189	Click to change all fonts	සියළුම අකුරු වෙනස් කිරීමට මෙය ක්ලික් කරන්න	0.23032671947657946	0.744633
190	Number of windows:	කවුළු ගණන:	0.23018850385415135	0.464115
191	Unable to launch KCardChooser	KCardChooser ක්‍රියාකල නොහැකි විය	0.23004135396422498	0.627451
192	The player '%1 'cannot perform the action'stop'.	'% 1' ධාවකයට 'නවතන්න' ක්‍රියාව ඉටුකළ නොහැක.	0.23003631132633018	0.469852
193	Are you sure you want to remove the %1 icon theme? This will delete the files installed by this theme.	ඔබට මෙම% 1 අයිකන තේමාව ඉවත් කිරීමට අවශ්‍යද?? මෙය තේමාව විසින් ස්ථාපිත ගොණු මකා දමනු අඑත.	0.22978121147571073	0.47611
194	The player '%1 'cannot perform the action'pause'.	'% 1' ධාවකයට 'රඳවන්න' ක්‍රියාව ඉටුකළ නොහැක.	0.22961078528533108	0.474545
195	Choose your visual KDE theme:	ඔබේ දෘශ්‍ය තේමාව තෝරන්න:	0.22918902596757107	0.44
196	Launch with %1	% 1 සමඟින් අරඹන්න	0.22902564458490815	0.516667
197	Settings and Profile	සැකසුම් හා පැතිකඩ	0.22902301467638608	1.0
198	The player '%1 'cannot perform the action'next'.	'% 1' ධාවකයට 'ඊලඟ' ක්‍රියාව ඉටුකළ නොහැක.	0.22887293419989874	0.448233
199	Cannot create memory segment for file %1	% 1 ගොනුව සඳහා මතක කොටස නිර්මාණය කළ නොහැකි විය	0.22885793335978225	0.651531
200	Select preferred email client:	නිර්දේශිත තැපැල් සහායක තෝරන්න:	0.22873585524030204	0.580645
201	KDE Classic	KDE සම්මත	0.22867881500860676	0.366667
202	The file %1 does not contain a valid worksheet definition, which must have a document type'KSysGuardWorkSheet '.	% 1 ගොනුව සතුව වලංගු වැඩපත්‍ර සඳහනක් අඩංගු නොවේ. එහි වර්‍ගය 'KSysGuardWorkSheet' විය යුතුයි.	0.22863424867909998	0.545057
203	Select the cursor theme you want to use (hover preview to test cursor):	ඔබට භාවිත කිරීමට අවශ්‍ය කර්සර තේමාව තෝරන්න (පෙරදැක්ම සඳහා මවුසය ඉහළින් ගෙනයන්න):	0.22857175849640043	0.554012
204	Do not show this message again	මෙම පණිවිඩය යළි පෙන්වන්න එපා	0.2284506700282468	0.652392
205	All Images	සියලු පින්තූර	0.22839713081634727	0.396104
206	Restart the game	තරගය යළි අරඹන්න	0.22829477799906842	0.757353
208	Remove the selected application from the list.	තෝරාගත් භාවිතයෙදවුම ලැයිස්තුවෙන් ඉවත් කරන්න. No applications associated with this file type	0.22812036540199188	0.54105
209	Cannot See Any Files?	කිසිඳු ගොනුවක් දැකිය නොහැකිද?	0.22811151786299888	0.309091
210	Show all options	සියළු විකල්ප පෙන්වන්න	0.22809071390366348	0.745989
211	Excluded Users	අයත් නොවන පරිශීලකයන්	0.22808921038267727	0.461905
212	Switch to Desktop 4	4 වන වැඩතලයට මාරුවන්න	0.2279325141425943	0.856818
213	Downloads: %1	බාගැනීම්:% 1	0.2278443644784892	1.0
214	Kmail is the standard Mail program for the KDE desktop.	KDE වැඩතලය සඳහා සම්මත තැපැල් වැඩසටහන වනුයේ Kmail	0.2278336444114757	0.457908
215	networking: is enabled	ජාලය: සක්‍රීයව ඇත	0.22780803713249043	0.427536
216	Enter the path to your htmerge program here, e. g. / usr/ local/ bin/ htmerge	ඔබේ htmerge වැඩසටහනේ මාර්‍ගය ඇතුළත් කරන්න උදා, e. g. / usr/ local/ bin/ htmerge	0.22777034482896852	0.664744
217	CPU time spent running as user: %1 seconds	පරිශීලක ලෙස ගතකල CPU කාලය:% 1 තත්පර	0.22776647094906366	0.408269
218	Input Action: %1	ඇතුළත්කිරීමේ ක්‍රියාවක්:% 1	0.22759857024584562	0.591387
221	Move selected files from %1 to:	තෝරාගත් ගොනුව% 1 වෙතට ගෙනයමින්: This menu entry empties the closed items history	0.22728515563176188	0.504244
222	Switch to Desktop 7	7 වන වැඩතලයට මාරුවන්න	0.22718404627539712	0.856818
223	Submitting data to %1	% 1 ට දත්ත ඇතුළත් කරමින්	0.22706886864580156	0.611818
